,날짜,코인명,전날 등락률,1분,2분,3분,4분,5분,고가,종가
0,2021-05-03,KRW-META,14.09,-0.4,-1.2,-1.2,-1.61,-1.61,8.76,-0.8
1,2021-05-03,KRW-GRS,11.38,-0.82,-1.64,-2.19,-2.19,-2.47,12.15,0.83
2,2021-05-03,KRW-MFT,10.24,-1.3,3.46,6.06,11.69,15.15,13.72,1.77
3,2021-05-03,KRW-MED,9.82,0.0,-0.56,-0.56,-1.13,-1.13,3.37,-0.56
4,2021-05-03,KRW-SXP,8.83,-0.07,-1.04,-0.67,-1.72,-1.72,8.95,1.67
5,2021-05-04,KRW-WAVES,40.64,-1.81,-2.37,-2.71,-2.8,-0.72,34.91,9.5
6,2021-05-04,KRW-OMG,21.31,0.0,-1.56,-1.74,-1.92,0.27,13.65,-5.04
7,2021-05-04,KRW-DOGE,18.98,-0.89,-0.89,0.3,1.48,2.82,42.49,25.23
8,2021-05-04,KRW-ETH,18.57,-0.05,-1.25,-1.27,-1.25,0.0,7.12,-3.43
9,2021-05-04,KRW-ETC,17.29,-1.57,-4.42,-3.94,-2.76,0.33,40.62,34.99
10,2021-05-05,KRW-ETC,34.99,-0.4,-0.4,-2.28,-2.24,0.98,36.92,30.23
11,2021-05-05,KRW-DOGE,25.23,-0.38,-2.43,-2.43,-1.79,-1.53,31.6,16.17
12,2021-05-05,KRW-BTG,15.45,-0.24,2.14,9.74,12.06,9.0,24.49,20.29
13,2021-05-05,KRW-LINK,11.15,-0.07,-0.69,-0.99,-0.94,-0.91,23.03,3.78
14,2021-05-05,KRW-WAVES,9.5,-0.09,-0.86,-1.14,0.74,-0.84,12.34,-2.53
15,2021-05-06,KRW-BCH,51.66,-2.11,-1.73,-2.11,-2.76,-3.84,7.91,1.67
16,2021-05-06,KRW-EOS,30.45,-0.14,0.14,1.07,1.28,1.71,49.95,34.97
17,2021-05-06,KRW-ETC,30.23,-0.63,1.57,1.76,-0.41,-0.63,81.81,42.15
18,2021-05-06,KRW-BCHA,26.43,-1.58,-2.99,-5.23,-5.68,-4.92,21.15,2.41
19,2021-05-06,KRW-BSV,22.96,-0.29,-0.57,-0.78,-1.66,-2.03,8.3,1.4
20,2021-05-07,KRW-ETC,42.15,-0.17,-1.02,-0.38,-2.32,-1.67,13.65,-7.58
21,2021-05-07,KRW-QTUM,41.31,-3.03,-5.36,-4.87,-6.5,-5.85,43.85,8.04
22,2021-05-07,KRW-OMG,35.52,-0.49,-2.66,-1.96,-1.96,-1.89,20.14,-11.52
23,2021-05-07,KRW-EOS,34.97,-0.08,-0.72,-2.25,-1.85,-0.96,16.8,-11.32
24,2021-05-07,KRW-STEEM,33.18,-0.36,0.73,1.82,1.82,1.82,11.45,-7.41
25,2021-05-08,KRW-LSK,37.35,-2.31,-3.47,-3.09,-2.8,-2.89,6.07,-11.29
26,2021-05-08,KRW-DOGE,16.53,-0.13,-0.65,-1.81,-1.94,-1.42,8.02,-5.95
27,2021-05-08,KRW-STORJ,15.45,-0.73,-1.83,-1.83,-1.83,-1.65,22.68,1.3
28,2021-05-08,KRW-POLY,14.16,-0.78,-1.17,-2.15,-2.35,-2.15,1.53,-2.49
29,2021-05-08,KRW-ORBS,11.84,-0.62,-0.62,-1.23,-1.23,-1.23,0.0,-4.71
30,2021-05-09,KRW-POWR,17.05,-0.18,-0.18,0.35,-0.88,-0.71,4.08,-7.52
31,2021-05-09,KRW-ETH,14.22,-0.23,-0.52,-0.44,-0.54,-0.58,4.72,1.01
32,2021-05-09,KRW-GRS,12.4,-2.67,-2.43,-2.43,-1.94,-2.18,19.61,0.98
33,2021-05-09,KRW-STEEM,11.27,-0.34,-1.01,-2.02,-1.35,-1.68,0.65,-3.57
34,2021-05-09,KRW-SRM,8.72,-0.08,-0.08,-0.08,-0.16,-0.71,0.15,-4.46
35,2021-05-10,KRW-LTC,12.75,-0.69,-0.89,0.22,-0.83,-1.1,8.3,-4.68
36,2021-05-10,KRW-ONT,10.7,-0.17,0.0,1.53,0.34,-0.85,0.45,-10.88
37,2021-05-10,KRW-ADA,9.87,-0.72,-0.48,0.24,-0.48,-0.96,2.07,-3.92
38,2021-05-10,KRW-LINK,8.55,-0.56,-0.39,0.65,-0.39,-1.0,2.34,-8.92
39,2021-05-10,KRW-QTUM,7.42,-1.33,-1.27,0.67,-1.67,-2.0,2.38,-10.46
40,2021-05-11,KRW-LSK,9.26,-1.49,-3.6,-3.07,-4.83,-4.13,5.76,1.71
41,2021-05-11,KRW-XLM,8.7,-1.33,-1.77,-1.55,-1.33,-1.55,10.16,7.89
42,2021-05-11,KRW-SSX,7.76,-1.56,-1.56,-2.34,-2.34,-2.34,8.8,1.6
43,2021-05-11,KRW-ETH,4.12,-0.29,-0.9,-0.84,-0.37,-0.35,2.66,2.2
44,2021-05-11,KRW-STRAX,2.51,0.0,4.52,6.03,9.51,8.0,2.45,0.19
45,2021-05-12,KRW-EOS,51.02,-3.01,-3.61,-5.12,-7.38,-6.93,5.94,-25.78
46,2021-05-12,KRW-OMG,18.92,-0.08,3.03,1.26,0.34,0.84,0.07,-21.4
47,2021-05-12,KRW-RFR,15.62,-1.57,-1.05,-3.14,-3.14,-4.71,25.23,-13.96
48,2021-05-12,KRW-BCH,13.04,-0.23,1.24,-3.39,-4.14,-4.79,6.69,-19.23
49,2021-05-12,KRW-XTZ,12.09,-0.88,-0.47,-2.57,-3.93,-5.15,2.9,-16.93
50,2021-05-13,KRW-POWR,25.93,0.0,-3.54,-3.54,-2.3,-2.3,0.31,-12.4
51,2021-05-13,KRW-WAVES,-3.43,-1.14,-1.88,-1.93,-1.61,-0.74,10.04,2.92
52,2021-05-13,KRW-ETH,-7.25,-0.3,-0.63,-1.38,-0.83,0.17,9.41,-0.59
53,2021-05-13,KRW-STRK,-7.71,-6.91,-3.78,-5.99,-6.46,-5.15,33.44,11.8
54,2021-05-13,KRW-DOT,-8.98,-1.12,-1.16,-1.28,-1.07,0.02,21.47,17.0
55,2021-05-14,KRW-HBAR,40.94,-1.45,-2.42,-1.45,-2.17,-2.17,18.53,-1.43
56,2021-05-14,KRW-ADA,25.84,-0.4,-0.2,0.0,0.81,1.01,3.9,1.64
57,2021-05-14,KRW-DOGE,22.47,-1.3,-0.87,-1.16,-1.3,-2.02,16.21,12.32
58,2021-05-14,KRW-DOT,17.0,-1.46,-1.48,-1.03,-1.18,-2.36,17.72,16.81
59,2021-05-14,KRW-TFUEL,14.05,-0.47,-0.24,-0.47,-0.47,-0.47,4.04,0.0
60,2021-05-15,KRW-DOT,16.81,-0.05,-0.33,-1.79,-2.27,-1.3,4.38,-8.06
61,2021-05-15,KRW-IQ,14.69,-0.91,-0.91,-0.45,-1.36,-1.36,0.0,-9.47
62,2021-05-15,KRW-DOGE,12.32,-0.47,-0.47,-1.57,-1.88,-1.41,0.43,-8.09
63,2021-05-15,KRW-ETC,12.09,-0.49,-1.27,-1.77,-2.26,-1.31,8.98,-4.57
64,2021-05-15,KRW-MOC,10.46,0.0,0.65,-1.29,-1.94,-1.94,0.59,-7.69
65,2021-05-16,KRW-ADA,9.7,-1.05,0.0,0.35,-0.7,-1.05,12.87,5.33
66,2021-05-16,KRW-XRP,7.8,0.0,-0.28,-0.83,-1.39,-1.67,5.65,-3.23
67,2021-05-16,KRW-HUNT,5.18,-1.53,-1.23,-0.61,-1.53,-1.53,0.58,-5.51
68,2021-05-16,KRW-XLM,3.39,-1.02,-0.79,-0.23,-1.58,-1.7,14.07,3.75
69,2021-05-16,KRW-HUM,2.68,-0.68,-1.37,-1.37,-2.74,-2.74,3.27,-4.58
70,2021-05-17,KRW-SRM,21.84,-1.46,-2.24,-3.88,-3.53,-3.01,18.09,-3.65
71,2021-05-17,KRW-IQ,10.45,-1.88,-2.35,-3.29,-3.76,-3.29,0.83,-11.98
72,2021-05-17,KRW-TFUEL,8.65,-0.49,0.0,-2.18,-2.18,-1.21,5.41,-3.06
73,2021-05-17,KRW-MTL,7.4,-0.4,-0.8,-2.41,-2.41,-1.87,0.0,-11.52
74,2021-05-17,KRW-RFR,5.79,-1.12,-1.12,-1.68,-2.23,-1.68,0.0,-10.95
75,2021-05-18,KRW-XRP,3.33,-0.25,-1.01,-1.01,-1.01,-1.01,12.67,6.74
76,2021-05-18,KRW-ELF,2.93,-0.21,-1.28,-1.71,-1.71,-2.14,3.51,2.85
77,2021-05-18,KRW-THETA,2.9,-0.16,-0.74,-1.47,-1.47,-1.39,4.97,1.24
78,2021-05-18,KRW-AXS,0.81,-0.24,-0.61,-1.03,-1.4,-1.46,5.16,1.17
79,2021-05-18,KRW-HIVE,0.5,-0.33,-1.15,-2.13,-2.13,-1.97,6.51,1.84
80,2021-05-19,KRW-ARK,54.52,-2.43,-2.16,-4.58,-4.58,-5.66,29.67,-32.05
81,2021-05-19,KRW-AQT,20.1,-3.45,-1.42,-5.28,-6.19,-4.87,30.18,-16.82
82,2021-05-19,KRW-ANKR,16.97,-0.66,-0.66,-0.66,-1.32,-2.65,4.12,-22.68
83,2021-05-19,KRW-HBAR,15.66,0.0,1.68,1.01,0.34,-0.67,2.14,-29.45
84,2021-05-19,KRW-LINK,14.91,-0.05,2.81,7.45,4.59,3.65,1.73,-28.08
85,2021-05-20,KRW-SBD,78.27,-7.55,-7.62,-7.69,-10.16,-7.69,75.93,7.12
